date,USDIDR,USDTHB,USDSGD,USDVND,EURUSD,USDCHF,USDCAD,USDAUD,USDNZD
2013-04-30,9734,29.268000000000001,1.2325999999999999,20930,1.3158000000000001,0.93089999999999995,1.0073000000000001,0.96450000000000002,1.1662999999999999
2013-05-31,9877,30.34,1.2643,21013,1.2999000000000001,0.95509999999999995,1.0375000000000001,1.0448,1.2587999999999999
2013-06-28,10004,31.053000000000001,1.2679,21205,1.3009999999999999,0.94499999999999995,1.0519000000000001,1.0943000000000001,1.2919
2013-07-31,10257,31.359999999999999,1.2747999999999999,21175,1.3275999999999999,0.9284,1.0287999999999999,1.1157999999999999,1.2556
2013-08-30,11184,32.149999999999999,1.2748999999999999,21155,1.3222,0.92979999999999996,1.0537000000000001,1.1234999999999999,1.2942
2013-09-30,11406,31.239999999999998,1.2547999999999999,21113,1.3532,0.90439999999999998,1.0296000000000001,1.071,1.2018
2013-10-31,11274,31.170000000000002,1.2411000000000001,21100,1.3599000000000001,0.90469999999999995,1.0428999999999999,1.0568,1.2094
2013-11-29,11965,32.049999999999997,1.2556,21120,1.3591,0.90620000000000001,1.0613999999999999,1.0980000000000001,1.2302
2013-12-31,12171,32.700000000000003,1.2624,21095,1.3789,0.88859999999999995,1.0628,1.1202000000000001,1.214
2014-01-31,12213,33.020000000000003,1.2766999999999999,21060,1.3486,0.90649999999999997,1.1128,1.1420999999999999,1.2369000000000001
2014-02-28,11610,32.560000000000002,1.2678,21100,1.3802000000000001,0.88029999999999997,1.1064000000000001,1.1205000000000001,1.1927000000000001
2014-03-31,11361,32.427999999999997,1.2583,21098,1.3772,0.8841,1.1039000000000001,1.0787,1.1529
2014-04-30,11562,32.360999999999997,1.2552000000000001,21083,1.3866000000000001,0.88039999999999996,1.0949,1.0780000000000001,1.1623000000000001
2014-05-30,11676,32.840000000000003,1.2542,21158,1.3634999999999999,0.8952,1.0846,1.0741000000000001,1.1765000000000001
2014-06-30,11875,32.438000000000002,1.2468999999999999,21330,1.369,0.8871,1.0666,1.0612999999999999,1.143
2014-07-31,11580,32.186999999999998,1.2465999999999999,21233,1.3385,0.90890000000000004,1.0893999999999999,1.0757000000000001,1.179
2014-08-29,11690,31.940000000000001,1.2486999999999999,21195,1.3131999999999999,0.91820000000000002,1.0878000000000001,1.0707,1.1963999999999999
2014-09-30,12188,32.43,1.2756000000000001,21228,1.2628999999999999,0.95469999999999999,1.1209,1.1444000000000001,1.2839
2014-10-31,12085,32.600000000000001,1.2855000000000001,21280,1.2524999999999999,0.96260000000000001,1.1266,1.1366000000000001,1.2827999999999999
2014-11-28,12206,32.850000000000001,1.3044,21398,1.2452000000000001,0.96530000000000005,1.1415999999999999,1.1755,1.2749999999999999
2014-12-31,12388,32.909999999999997,1.3246,21388,1.21,0.99390000000000001,1.1615,1.2242,1.2819
2015-01-30,12672,32.759999999999998,1.3542000000000001,21317,1.1291,0.92020000000000002,1.2732000000000001,1.2869999999999999,1.3786
2015-02-27,12932,32.356999999999999,1.3629,21348,1.1195999999999999,0.95430000000000004,1.2515000000000001,1.2802,1.3220000000000001
2015-03-31,13074,32.558999999999997,1.3732,21555,1.0728,0.9728,1.2678,1.3127,1.3379000000000001
2015-04-30,12963,33.027999999999999,1.3254999999999999,21590,1.1214,0.93820000000000003,1.2091000000000001,1.2664,1.3134999999999999
2015-05-29,13224,33.700000000000003,1.3478000000000001,21815,1.0986,0.94030000000000002,1.2454000000000001,1.3081,1.4069
2015-06-30,13339,33.789999999999999,1.3473999999999999,21839,1.1153,0.93520000000000003,1.2483,1.2971999999999999,1.4763999999999999
2015-07-31,13539,35.003,1.3722000000000001,21818,1.0984,0.96630000000000005,1.3090999999999999,1.3687,1.5178
2015-08-31,14067,35.850000000000001,1.4115,22482,1.1204000000000001,0.96699999999999997,1.3210999999999999,1.4048,1.5718000000000001
2015-09-30,14653,36.369999999999997,1.4239999999999999,22478,1.1182000000000001,0.97489999999999999,1.3396999999999999,1.4256,1.5651999999999999
2015-10-30,13684,35.622999999999998,1.4012,22336,1.1006,0.9879,1.3080000000000001,1.401,1.4756
2015-11-30,13847,35.82,1.4104000000000001,22500,1.056,1.0275000000000001,1.3351999999999999,1.3825000000000001,1.5206
2015-12-31,13788,36.020000000000003,1.4171,22485,1.0866,0.99980000000000002,1.3828,1.3714,1.4617
2016-01-29,13778,35.689999999999998,1.4242999999999999,22230,1.0831,1.0230999999999999,1.3976,1.4117,1.5423
2016-02-29,13375,35.634999999999998,1.4064000000000001,22300,1.0874999999999999,0.99660000000000004,1.3532999999999999,1.3986000000000001,1.5159
2016-03-31,13239,35.119999999999997,1.3469,22293,1.1380999999999999,0.95889999999999997,1.2976000000000001,1.3036000000000001,1.4459
2016-04-29,13180,34.899999999999999,1.3442000000000001,22288,1.1451,0.95989999999999998,1.2556,1.3148,1.4331
2016-05-31,13648,35.729999999999997,1.3766,22390,1.1138999999999999,0.99309999999999998,1.3098000000000001,1.3824000000000001,1.4792000000000001
2016-06-30,13210,35.139000000000003,1.3491,22304,1.1073,0.97729999999999995,1.2979000000000001,1.3428,1.4038999999999999
2016-07-29,13112,34.777000000000001,1.3396999999999999,22299,1.1173999999999999,0.96950000000000003,1.3029999999999999,1.3161,1.3872
